Age,M,F
0-4,3791444,3418840
5-9,3415154,3187497
10-14,3588778,3382548
15-19,4529070,4301013
20-24,4453595,4259260
25-29,4051275,3936612
30-34,3635156,3585003
35-39,3387758,3339133
40-44,3074654,3023297
45-49,2779908,2801327
50-54,2321680,2457104
55-59,1644672,1838968
60-64,904315,1150495
65-69,659204,897338
70-74,554632,832747
75-79,465563,776365
80-84,274179,516541
85-89,143662,315930
90-94,53597,139973
95-99,15313,50073
100+,2757,11225
