Age,M,F
0-4,3929036,3504600
5-9,3507522,3236174
10-14,3400592,3195352
15-19,4174256,3959036
20-24,4539432,4339526
25-29,4191694,4057636
30-34,3759399,3697588
35-39,3462190,3423125
40-44,3178284,3131755
45-49,2874722,2878908
50-54,2483570,2607198
55-59,1883242,2087630
60-64,1115996,1366695
65-69,673593,927857
70-74,541379,807798
75-79,454729,757278
80-84,301154,558994
85-89,153015,328793
90-94,63680,158872
95-99,18352,55251
100+,3317,12704
