Age,M,F
0-4,4696444,4445593
5-9,4333047,4119978
10-14,3946952,3788721
15-19,3690661,3576411
20-24,3324372,3242854
25-29,2988850,2945693
30-34,2535566,2535533
35-39,1906896,1926684
40-44,1166737,1273256
45-49,942741,1055819
50-54,910802,1041942
55-59,936204,1094809
60-64,745074,911688
65-69,606752,795053
70-74,422587,598369
75-79,280153,466721
80-84,140419,286048
85-89,61257,160334
90-94,15092,55403
95-99,2445,12954
100+,232,1709
