Age,M,F
0-4,3884635,3680108
5-9,4696395,4470016
10-14,4556653,4337024
15-19,4188044,4012498
20-24,3789084,3686258
25-29,3479560,3425420
30-34,3110377,3090738
35-39,2798682,2829903
40-44,2334399,2398049
45-49,1673339,1753725
50-54,1009470,1161343
55-59,847197,1002578
60-64,808196,996710
65-69,751573,981141
70-74,520039,753053
75-79,358726,586884
80-84,197164,373322
85-89,95328,226430
90-94,30887,94357
95-99,8277,32677
100+,799,4812
