Age,M,F
0-4,4103162,3690136
5-9,4075985,3643145
10-14,3853092,3450458
15-19,3465682,3189504
20-24,3305936,3129019
25-29,4021103,3868490
30-34,4368770,4239712
35-39,4051107,3967839
40-44,3643884,3620716
45-49,3335362,3356056
50-54,3001455,3064346
55-59,2617351,2783820
60-64,2155831,2460787
65-69,1533416,1897579
70-74,829492,1174908
75-79,433661,726365
80-84,294742,548231
85-89,193293,410519
90-94,92236,221191
95-99,29068,79596
100+,6534,19956
