Age,M,F
0-4,4739089,4488464
5-9,4404734,4184697
10-14,4006069,3840740
15-19,3733005,3615826
20-24,3376914,3293988
25-29,3044872,3001098
30-34,2628590,2630301
35-39,2042201,2058181
40-44,1275038,1372527
45-49,955342,1072205
50-54,897533,1028303
55-59,933040,1093671
60-64,766553,937985
65-69,614548,807925
70-74,434911,615915
75-79,287068,473286
80-84,149641,298735
85-89,65403,166858
90-94,18377,63458
95-99,2926,14724
100+,268,1946
