Age,M,F
0-4,3966295,3539299
5-9,3586678,3282800
10-14,3373953,3165279
15-19,3940504,3730772
20-24,4564798,4363450
25-29,4253943,4111728
30-34,3832112,3761906
35-39,3495354,3459242
40-44,3236408,3194538
45-49,2918055,2913480
50-54,2556129,2667836
55-59,1991133,2202792
60-64,1249860,1501686
65-69,692596,958645
70-74,540271,804297
75-79,444549,740705
80-84,313835,582632
85-89,155105,332315
90-94,66984,165729
95-99,19868,57875
100+,3630,13527
