Age,M,F
0-4,4131265,3917417
5-9,4708227,4478448
10-14,4498961,4283231
15-19,4107923,3943428
20-24,3741569,3644582
25-29,3415805,3361447
30-34,3062051,3046509
35-39,2729848,2765277
40-44,2229143,2286005
45-49,1521544,1613250
50-54,959215,1108476
55-59,842384,996717
60-64,825836,1017445
65-69,729536,952325
70-74,510315,740208
75-79,347319,564418
80-84,192822,365979
85-89,91858,217734
90-94,30238,92720
95-99,7899,31300
100+,697,4341
