Age,M,F
0-4,3998927,3572946
5-9,3675642,3337326
10-14,3372654,3156468
15-19,3726682,3520705
20-24,4543114,4341827
25-29,4309454,4161189
30-34,3905338,3827077
35-39,3533066,3498307
40-44,3290377,3253504
45-49,2962519,2950544
50-54,2623339,2721679
55-59,2092076,2308804
60-64,1384215,1639398
65-69,732451,1009245
70-74,541777,806838
75-79,435018,726027
80-84,321303,599673
85-89,157962,339073
90-94,68790,170775
95-99,20491,58982
100+,3946,14321
