Age,M,F
0-4,3583895,3338430
5-9,3479724,3290130
10-14,4424639,4208913
15-19,4575913,4358991
20-24,4230282,4070682
25-29,3777975,3708108
30-34,3483405,3454464
35-39,3160730,3126950
40-44,2875028,2874687
45-49,2479626,2553605
50-54,1881154,2002702
55-59,1102652,1304245
60-64,765879,974571
65-69,668354,899331
70-74,607012,896440
75-79,414233,682844
80-84,251818,476503
85-89,121918,269473
90-94,47015,130795
95-99,11672,41671
100+,1948,9137
