Age,M,F
0-4,4134160,3696744
5-9,3942398,3524741
10-14,3578005,3264586
15-19,3342166,3139291
20-24,3878227,3693102
25-29,4476922,4314426
30-34,4177187,4065854
35-39,3774244,3722459
40-44,3441649,3425098
45-49,3168017,3164717
50-54,2815344,2878770
55-59,2412022,2611526
60-64,1829803,2123646
65-69,1107055,1416157
70-74,575452,871242
75-79,418367,691611
80-84,310447,581173
85-89,190491,401783
90-94,77273,188036
95-99,26507,73367
100+,5128,16766
