Age,M,F
0-4,4048570,3624203
5-9,3839020,3446610
10-14,3433097,3180542
15-19,3443333,3241392
20-24,4318004,4121738
25-29,4408512,4249886
30-34,4050369,3955059
35-39,3638661,3599890
40-44,3377438,3351474
45-49,3059337,3044740
50-54,2733322,2810869
55-59,2270260,2484686
60-64,1624061,1894845
65-69,882506,1175466
70-74,552747,827103
75-79,422225,703241
80-84,321852,603814
85-89,173018,368184
90-94,73816,182972
95-99,21571,61774
100+,4553,15675
