Age,M,F
0-4,4775631,4525758
5-9,4472659,4247405
10-14,4073381,3899991
15-19,3769255,3648484
20-24,3434998,3350909
25-29,3092007,3047076
30-34,2711910,2713901
35-39,2165617,2184169
40-44,1411592,1494586
45-49,971692,1094129
50-54,891007,1021307
55-59,918296,1078900
60-64,796113,973558
65-69,619079,815493
70-74,449890,640100
75-79,291632,476461
80-84,159111,313819
85-89,68004,170771
90-94,21249,70179
95-99,3664,17181
100+,310,2214
