Age,M,F
0-4,3875646,3467362
5-9,3448612,3203085
10-14,3468564,3264277
15-19,4380329,4158723
20-24,4495899,4298395
25-29,4123256,3998679
30-34,3692387,3637680
35-39,3427310,3384007
40-44,3122735,3072904
45-49,2829132,2842244
50-54,2405504,2537334
55-59,1767538,1965499
60-64,997353,1246800
65-69,664904,909078
70-74,545953,817265
75-79,462631,770575
80-84,286931,535318
85-89,149572,324141
90-94,59310,150602
95-99,16601,52305
100+,3023,11920
