Age,M,F
0-4,3660585,3383794
5-9,3386598,3192253
10-14,4223390,4011206
15-19,4611661,4391845
20-24,4289033,4120740
25-29,3841785,3759367
30-34,3518299,3483358
35-39,3220181,3181675
40-44,2924310,2911567
45-49,2562512,2629659
50-54,1997221,2125355
55-59,1226526,1423524
60-64,774513,993518
65-69,658682,889776
70-74,595910,882068
75-79,432712,710642
80-84,255926,481912
85-89,129770,282861
90-94,49462,133245
95-99,13725,46671
100+,2126,9625
