Age,M,F
0-4,3736703,3391099
5-9,3385851,3171928
10-14,3764444,3557577
15-19,4613195,4386841
20-24,4403170,4217098
25-29,3983398,3877869
30-34,3590197,3544707
35-39,3340372,3294662
40-44,3022730,2983030
45-49,2713715,2752670
50-54,2217639,2355755
55-59,1510315,1701675
60-64,835488,1075318
65-69,654970,889025
70-74,566557,845683
75-79,462299,764002
80-84,265546,498791
85-89,140904,306816
90-94,52573,136426
95-99,16085,51979
100+,2522,10625
