Age,M,F
0-4,4586142,4353024
5-9,4663378,4432061
10-14,4360483,4155520
15-19,3957799,3812957
20-24,3653888,3563478
25-29,3278844,3224214
30-34,2962818,2956990
35-39,2567993,2607815
40-44,1993128,2037484
45-49,1234962,1353275
50-54,914847,1052085
55-59,846838,1001477
60-64,858696,1052089
65-69,672966,881210
70-74,499808,725022
75-79,321223,518352
80-84,184505,358567
85-89,80386,195627
90-94,27454,88201
95-99,5340,23720
100+,537,3535
