Age,M,F
0-4,3344813,3153492
5-9,4363789,4153644
10-14,4683301,4459208
15-19,4398953,4203149
20-24,3968381,3847776
25-29,3623674,3568693
30-34,3288614,3257142
35-39,2974537,2974956
40-44,2617362,2671567
45-49,2073856,2153874
50-54,1318172,1461668
55-59,871197,1048339
60-64,769654,958037
65-69,738881,979126
70-74,576172,832365
75-79,379893,623317
80-84,223569,418793
85-89,106194,242471
90-94,38995,113245
95-99,9525,36152
100+,1229,6631
