Age,M,F
0-4,4794750,4546484
5-9,4534523,4306056
10-14,4145376,3963200
15-19,3804469,3679142
20-24,3495808,3410716
25-29,3133380,3086349
30-34,2785659,2786765
35-39,2277660,2303134
40-44,1565343,1631603
45-49,999326,1127002
50-54,890660,1020864
55-59,896596,1055619
60-64,827613,1011228
65-69,624034,822249
70-74,465718,667311
75-79,295729,479765
80-84,167645,329269
85-89,69662,173564
90-94,23567,75853
95-99,4326,19424
100+,357,2510
