Age,M,F
0-4,3694415,3496341
5-9,4638735,4418047
10-14,4602513,4380593
15-19,4261811,4076287
20-24,3841846,3731449
25-29,3531222,3476270
30-34,3158967,3136713
35-39,2857041,2884072
40-44,2430493,2497688
45-49,1812375,1887154
50-54,1086945,1236422
55-59,855159,1012549
60-64,795040,980491
65-69,761558,995059
70-74,535773,773818
75-79,367462,604942
80-84,202536,385502
85-89,96870,232431
90-94,31181,97158
95-99,7621,31604
100+,919,5339
