Age,M,F
0-4,4157225,3725421
5-9,4040708,3612554
10-14,3798655,3409990
15-19,3401606,3153408
20-24,3378274,3200417
25-29,4222425,4066706
30-34,4324142,4198637
35-39,3984906,3910003
40-44,3579451,3561307
45-49,3302655,3317040
50-54,2950747,3007420
55-59,2575597,2749489
60-64,2086556,2394561
65-69,1438582,1786265
70-74,738251,1070819
75-79,428065,712442
80-84,295727,553906
85-89,194593,415806
90-94,86622,210116
95-99,27071,75571
100+,6135,18957
