Age,M,F
0-4,4035703,3607068
5-9,3760284,3392734
10-14,3388975,3158610
15-19,3563043,3358656
20-24,4458996,4259216
25-29,4357476,4205165
30-34,3975251,3890165
35-39,3579107,3543955
40-44,3336353,3303979
45-49,3010331,2993118
50-54,2685080,2770199
55-59,2186919,2404199
60-64,1510063,1771661
65-69,798248,1083710
70-74,546345,816139
75-79,427599,715903
80-84,322418,607376
85-89,162388,351160
90-94,69017,174292
95-99,19617,57272
100+,4253,15039
