Age,M,F
0-4,4086242,3657631
5-9,3900114,3490900
10-14,3498408,3217278
15-19,3371222,3170575
20-24,4113340,3922564
25-29,4454171,4292171
30-34,4117553,4013384
35-39,3704334,3659778
40-44,3410801,3390348
45-49,3112930,3103377
50-54,2775298,2845629
55-59,2345055,2553097
60-64,1730472,2012748
65-69,988319,1288812
70-74,560185,843739
75-79,419118,694852
80-84,317143,593775
85-89,183142,386340
90-94,75998,186143
95-99,24330,68256
100+,4840,16231
