Age,M,F
0-4,3361699,3167196
5-9,4120974,3919279
10-14,4691402,4468164
15-19,4449199,4248216
20-24,4031190,3902505
25-29,3649546,3595579
30-34,3345609,3315750
35-39,3016543,3004886
40-44,2691542,2732678
45-49,2185474,2268730
50-54,1465062,1599114
55-59,890122,1079396
60-64,762275,953081
65-69,717362,955378
70-74,595805,864941
75-79,382762,629493
80-84,232895,437127
85-89,108469,244442
90-94,41599,118677
95-99,10479,38288
100+,1405,7317
