Age,M,F
0-4,3459480,3237537
5-9,3639706,3451001
10-14,4576360,4356401
15-19,4547346,4332134
20-24,4172645,4021728
25-29,3725854,3667615
30-34,3444705,3421593
35-39,3110222,3082124
40-44,2823831,2833241
45-49,2394036,2468714
50-54,1760065,1878214
55-59,1007054,1210279
60-64,761538,962836
65-69,683673,915735
70-74,611717,902258
75-79,399164,662939
80-84,245365,468287
85-89,113673,257172
90-94,43058,124529
95-99,10264,38196
100+,1771,8601
