Age,M,F
0-4,4387668,4163591
5-9,4691619,4460458
10-14,4431427,4220786
15-19,4027970,3874277
20-24,3697285,3604453
25-29,3345261,3290462
30-34,3013124,3002533
35-39,2651855,2690603
40-44,2115229,2164386
45-49,1369188,1475148
50-54,930976,1074297
55-59,841333,995543
60-64,844521,1038112
65-69,700277,915202
70-74,504819,732604
75-79,334072,539957
80-84,188987,362095
85-89,86766,207176
90-94,29059,90880
95-99,6757,27925
100+,611,3920
