Age,M,F
0-4,3441265,3248381
5-9,4541307,4324395
10-14,4653418,4429566
15-19,4338598,4147608
20-24,3906791,3792050
25-29,3587563,3531761
30-34,3226628,3197389
35-39,2923795,2937481
40-44,2531506,2594684
45-49,1950196,2026443
50-54,1189182,1338585
55-59,862524,1028426
60-64,780774,967636
65-69,755618,994496
70-74,554728,800099
75-79,375876,616783
80-84,213182,401002
85-89,102550,239219
90-94,35559,106291
95-99,8429,33688
100+,1065,5962
