Age,M,F
0-4,3700908,3388617
5-9,3363008,3160370
10-14,3989555,3780475
15-19,4634767,4411450
20-24,4347537,4170300
25-29,3912577,3817854
30-34,3552366,3511886
35-39,3283021,3240702
40-44,2973022,2946615
45-49,2641172,2695991
50-54,2109252,2244176
55-59,1367830,1560336
60-64,794201,1024571
65-69,654649,886639
70-74,581198,863268
75-79,450562,740591
80-84,259723,487921
85-89,136186,295521
90-94,51327,134793
95-99,15427,50641
100+,2314,10104
