Age,M,F
0-4,3416982,3212749
5-9,3858876,3665059
10-14,4663117,4441198
15-19,4498289,4290800
20-24,4099345,3960417
25-29,3680656,3626062
30-34,3397907,3371406
35-39,3060183,3038725
40-44,2759515,2785169
45-49,2291167,2373303
50-54,1615703,1740664
55-59,932825,1131658
60-64,759213,954177
65-69,697953,932514
70-74,608319,889748
75-79,388661,641814
80-84,240229,453831
85-89,110773,248710
90-94,42992,122388
95-99,10868,39284
100+,1587,7982
