Age,M,F
0-4,4770712,4525671
5-9,4588628,4358506
10-14,4219097,4028049
15-19,3847340,3716090
20-24,3554774,3468097
25-29,3175494,3125476
30-34,2851303,2851045
35-39,2381810,2414665
40-44,1719592,1772064
45-49,1050055,1179383
50-54,895061,1026126
55-59,875668,1032598
60-64,852070,1040478
65-69,634723,835136
70-74,480157,692695
75-79,301615,487834
80-84,174075,342493
85-89,71421,177799
90-94,24837,79987
95-99,4628,20725
100+,411,2831
